ts,av
2018-09-30T23:57:00,429.8219621
2018-09-30T23:56:00,487.1878836774194
2018-09-30T23:55:00,371.076108
2018-09-30T23:54:00,391.91234268421056
2018-09-30T23:53:00,374.80971951666663
2018-09-30T23:52:00,2794.278868886364
2018-09-30T23:51:00,377.18066944285715
2018-09-30T23:50:00,444.877769
2018-09-30T23:49:00,340.285814440678
2018-09-30T23:48:00,2189.9666952545454
2018-09-30T23:47:00,1367.42471575
2018-09-30T23:46:00,4192.672842414634
2018-09-30T23:45:00,523.5642519076923
2018-09-30T23:44:00,408.8745781964285
2018-09-30T23:43:00,426.7492831886792
2018-09-30T23:42:00,639.3392570370371
2018-09-30T23:41:00,4902.718114373134
2018-09-30T23:40:00,1033.7358857906977
2018-09-30T23:39:00,2333.7751842499997
2018-09-30T23:38:00,537.7029032419354
2018-09-30T23:37:00,545.5985713545455
2018-09-30T23:36:00,402.72628673076923
2018-09-30T23:35:00,2137.8730315588246
2018-09-30T23:34:00,299.46455103174605
2018-09-30T23:33:00,324.10920553608247
2018-09-30T23:32:00,321.3656968433735
2018-09-30T23:31:00,323.37741883950616
2018-09-30T23:30:00,389.21616351999995
2018-09-30T23:29:00,384.58485302197806
2018-09-30T23:28:00,402.5016592048193
2018-09-30T23:27:00,353.3200908983051
2018-09-30T23:26:00,354.9282807924528
2018-09-30T23:25:00,1123.926672724138
2018-09-30T23:24:00,642.4051416666667
2018-09-30T23:23:00,281.835337175
2018-09-30T23:22:00,339.78159071794875
2018-09-30T23:21:00,424.10768855999993
2018-09-30T23:20:00,471.5334414772726
2018-09-30T23:19:00,441.57858308163264
2018-09-30T23:18:00,356.72577742857146
2018-09-30T23:17:00,374.8120488157895
2018-09-30T23:16:00,383.6270630384615
2018-09-30T23:15:00,321.08446567741936
2018-09-30T23:14:00,491.8943752244898
2018-09-30T23:13:00,397.12804133333333
2018-09-30T23:12:00,3151.8933286774195
2018-09-30T23:11:00,1979.108531540541
2018-09-30T23:10:00,478.36674204166667
2018-09-30T23:09:00,412.5833585681819
2018-09-30T23:08:00,424.9693704489796
2018-09-30T23:07:00,388.1774583023256
2018-09-30T23:06:00,2440.530503064516
2018-09-30T23:05:00,1064.7721234772728
2018-09-30T23:04:00,1532.71026768
2018-09-30T23:03:00,293.75751627272723
2018-09-30T23:02:00,325.34620956
2018-09-30T23:01:00,361.0360045142857
2018-09-30T23:00:00,453.31024194117646
2018-09-30T22:59:00,450.72680020930227
2018-09-30T22:58:00,409.56829968085106
2018-09-30T22:57:00,384.47536121875
2018-09-30T22:56:00,301.22486968
2018-09-30T22:55:00,314.5841531666667
2018-09-30T22:54:00,835.6453002575756
2018-09-30T22:53:00,396.38393895
2018-09-30T22:52:00,947.2283130897436
2018-09-30T22:51:00,2053.8221429180326
2018-09-30T22:50:00,440.9870084561403
2018-09-30T22:49:00,501.91114396774196
2018-09-30T22:48:00,514.2334169710145
2018-09-30T22:47:00,339.0566841071428
2018-09-30T22:46:00,332.0572853170732
2018-09-30T22:45:00,369.38128258510636
2018-09-30T22:44:00,382.30314064044944
2018-09-30T22:43:00,364.66304270588233
2018-09-30T22:42:00,697.0399882881358
2018-09-30T22:41:00,2060.2513985909095
2018-09-30T22:40:00,2652.879769666667
2018-09-30T22:39:00,883.97167556
2018-09-30T22:38:00,319.1317072105263
2018-09-30T22:37:00,307.7174255555555
2018-09-30T22:36:00,355.3031479111111
2018-09-30T22:35:00,406.1607496701031
2018-09-30T22:34:00,331.86818717499995
2018-09-30T22:33:00,365.9522893563218
2018-09-30T22:32:00,326.61500859322035
2018-09-30T22:31:00,386.35560358999993
2018-09-30T22:30:00,500.1040641097562
2018-09-30T22:29:00,378.97691852857145
2018-09-30T22:28:00,389.62610993220346
2018-09-30T22:27:00,471.36537953246744
2018-09-30T22:26:00,378.00252491304343
2018-09-30T22:25:00,283.908956828125
2018-09-30T22:24:00,352.0697417
2018-09-30T22:23:00,381.7855761097561
2018-09-30T22:22:00,416.8892392876713
2018-09-30T22:21:00,304.3450875
2018-09-30T22:20:00,473.28999776
2018-09-30T22:19:00,550.1428497288135
2018-09-30T22:18:00,434.23815277380953
2018-09-30T22:17:00,487.94338998529406
2018-09-30T22:16:00,416.6801647428572
2018-09-30T22:15:00,416.46293434999995
2018-09-30T22:14:00,342.2369132
2018-09-30T22:13:00,286.9521277857143
2018-09-30T22:12:00,328.9023483846154
2018-09-30T22:11:00,1552.2499142976192
2018-09-30T22:10:00,951.7155530545456
2018-09-30T22:09:00,415.43674327586206
2018-09-30T22:08:00,420.9572193614458
2018-09-30T22:07:00,394.96308393506496
2018-09-30T22:06:00,387.6228022978723
2018-09-30T22:05:00,396.5814225178571
2018-09-30T22:04:00,366.65162233333336
2018-09-30T22:03:00,378.3042687368421
2018-09-30T22:02:00,426.90126799999996
2018-09-30T22:01:00,337.89322773076924
2018-09-30T22:00:00,404.25829773076924
2018-09-30T21:59:00,1558.8325074400002
2018-09-30T21:58:00,1973.4731462424243
2018-09-30T21:57:00,403.12781595348827
2018-09-30T21:56:00,428.92106792682927
2018-09-30T21:55:00,2948.830892595238
2018-09-30T21:54:00,2374.765238344828
2018-09-30T21:53:00,2371.049274344828
2018-09-30T21:52:00,825.1425624
2018-09-30T21:51:00,430.2687428965517
2018-09-30T21:50:00,312.89096475555556
2018-09-30T21:49:00,328.9869391818182
2018-09-30T21:48:00,400.30088531111113
2018-09-30T21:47:00,432.8583254693878
2018-09-30T21:46:00,338.1745435000001
2018-09-30T21:45:00,337.97283821428573
2018-09-30T21:44:00,1410.0872600714285
2018-09-30T21:43:00,950.3396377916665
2018-09-30T21:42:00,368.1889728837209
2018-09-30T21:41:00,3605.1809147272725
2018-09-30T21:40:00,1169.6405761777776
2018-09-30T21:39:00,364.26393172093026
2018-09-30T21:38:00,1297.792662470588
2018-09-30T21:37:00,1445.722858218182
2018-09-30T21:36:00,417.23798965
2018-09-30T21:35:00,444.68197299999997
2018-09-30T21:34:00,592.9514161358024
2018-09-30T21:33:00,1973.9704099848486
2018-09-30T21:32:00,762.4671532835822
2018-09-30T21:31:00,2215.8123384347828
2018-09-30T21:30:00,497.47308821428567
2018-09-30T21:29:00,352.3097577962963
2018-09-30T21:28:00,399.1787198275863
2018-09-30T21:27:00,1462.8088278727275
2018-09-30T21:26:00,1531.8960075238092
2018-09-30T21:25:00,1155.7427908599998
2018-09-30T21:24:00,409.55080430000004
2018-09-30T21:23:00,1574.612701633333
2018-09-30T21:22:00,2120.6644887073176
2018-09-30T21:21:00,1519.1696971794872
2018-09-30T21:20:00,2054.5311653999997
